SUPPLIER,ITEM TYPE,TOTAL_SALES,RETAIL_SALES,WAREHOUSE_SALES
TERRAPIN BEER COMPANY,KEGS,87.0,0.0,87.0
BREWDOG BREWING COMPANY LLC,BEER,87.0,0.0,87.0
AMERICAN FIDELITY TRADING,BEER,87.0,3.0,84.0
VINTURE WINE COMPANY LLC,WINE,86.61,9.61,77.0
BBL INC,KEGS,82.0,0.0,82.0
DMV DISTRIBUTING LLC,LIQUOR,81.6,80.6,1.0
ADAMBA IMPORTS INTL,LIQUOR,80.86,78.86,2.0
EVEREST SPIRITS LLC,LIQUOR,80.47,80.47,0.0
KATCEF BROTHERS INC,WINE,77.96000000000001,0.0,77.96000000000001
MOUNT DEFIANCE CIDERY & DISTILLERY LLC,LIQUOR,77.78,77.78,0.0
WILLIAM HARRISON IMPORTS,WINE,76.99,41.99,35.0
SMT AQUISITIONS LLC,WINE,76.66,29.66,47.0
BOND DISTRIBUTING CO,KEGS,74.0,0.0,74.0
SUTTER HOME WINERY INC,NON-ALCOHOL,73.75,5.75,68.0
INFINIUM SPIRITS INC,WINE,73.61,65.61,8.0
SCOPERTA IMPORTING COMPANY INC,WINE,72.05,14.05,58.0
"GF WINES, LLC DBA GARY FARRELL WINERY",WINE,71.03999999999999,46.04,25.0
MHW LTD,KEGS,70.0,0.0,70.0
GEORGIAN HOUSE OF GREATER WASHINGTON,WINE,64.43,15.43,49.0
DOMAINE SELECT WINE & SPIRITS LLC,WINE,61.6,18.68,42.92
CLASSIC WINE IMPORTS INC DBA VISION WINE,WINE,61.15,50.15,11.0
STEFANO INCORPORATED,BEER,61.0,1.0,60.0
BACCHUS IMPORTERS LTD,BEER,61.0,9.0,52.0
SIMON N CELLARS LLC,WINE,59.77,9.77,50.0
BINDING BRAUEREI USA INC,KEGS,59.0,0.0,59.0
FOWLES WINE USA INC,WINE,58.19,1.1900000000000002,57.0
NOVELTY MD INC,LIQUOR,56.25,53.25,3.0
AZABU DISTILLING CO LLC,LIQUOR,56.02,56.02,0.0
VINTUS LLC,WINE,55.61,52.61,3.0
BITTERMILK LLC,NON-ALCOHOL,54.76,54.76,0.0
CAMPARI AMERICA LLC,WINE,53.980000000000004,47.980000000000004,6.0
SOVEREIGN BRANDS LLC,LIQUOR,52.16,52.16,0.0
ROBERT OATLEY,WINE,51.77,2.7699999999999996,49.0
BANFI PRODUCTS CORP,LIQUOR,50.69,49.69,1.0
Z WINE GALLERY IMPORTS LLC,WINE,49.4,19.4,30.0
BOLD ROCK PARTNERS LP,KEGS,49.0,0.0,49.0
MONOCACY BREWING CO LLC,BEER,48.0,10.0,38.0
THE SANDY BOTTOM ENTERPRISES LLC,LIQUOR,47.1,47.1,0.0
CONSTANTINE WINES INC,BEER,47.0,0.0,47.0
GROTH VINEYARDS & WINERY,WINE,46.39,42.39,4.0
WASHBURN WINE CO,LIQUOR,46.2,38.2,8.0
TENTH HARVEST LLC,WINE,43.79,1.79,42.0
SOVEREIGN BRANDS LLC,WINE,43.72,29.89,13.83
DISARONNO INTERNATIONAL LLC,WINE,43.09,43.09,0.0
LA ISLA CORPORATION,WINE,42.41,0.49,41.92
ST GEORGE SPIRITS INC,LIQUOR,42.19,42.19,0.0
CHASSEUR WINE LLC,WINE,42.0,1.0,41.0
OENOS LLC,WINE,40.88,0.88,40.0
PLATA WINE PARTNERS LLC,WINE,40.13,2.13,38.0
RAPP CAPITAL LLC,WINE,39.98,14.98,25.0
MADIDUS LLC,WINE,38.87,1.87,37.0
WINERY EXCHANGE INC,WINE,38.24,0.24,38.0
PAMPA BEVERAGES LLC DBA TRANSNATIONAL SU,BEER,37.0,1.0,36.0
FRANK LIN MD,LIQUOR,36.1,36.1,0.0
MONSIEUR TOUTON SELECTION,LIQUOR,35.49,8.49,27.0
E & J GALLO WINERY,BEER,35.04,11.040000000000001,24.0
MOUNT DEFIANCE CIDERY & DISTILLERY LLC,WINE,34.07,34.07,0.0
WETTEN IMPORTERS INC,KEGS,32.0,0.0,32.0
PWSWN INC,BEER,32.0,0.0,32.0
ZURENA LLC,NON-ALCOHOL,31.28,31.28,0.0
DESCHUTES BREWERY INC,KEGS,31.0,0.0,31.0
OCEAN CITY BREWING CO LLC,LIQUOR,30.78,30.78,0.0
BACKUP BEVERAGE,WINE,28.0,0.0,28.0
REPUBLIC RESTORATIVES,LIQUOR,27.830000000000002,21.830000000000002,6.0
THREE HENS LLC T/A TENTH HARVEST,WINE,27.82,6.82,21.0
REGAL WINE IMPORTS INC,WINE,27.5,0.0,27.5
RELIABLE CHURCHILL LLLP,KEGS,27.0,0.0,27.0
DOMAINE SELECT WINE & SPIRITS LLC,LIQUOR,26.39,26.39,0.0
PUNTO VINO LLC,BEER,26.0,0.0,26.0
VIGNOBLES LVDH USA INC,LIQUOR,25.67,25.67,0.0
GJS SALES INC,BEER,25.0,0.0,25.0
BASQUE BAR LLC,KEGS,25.0,0.0,25.0
ALLIED IMPORTERS USA LTD,WINE,24.0,0.0,24.0
PALM BAY IMPORTS,LIQUOR,23.43,23.43,0.0
USA WINE WEST LLC,WINE,23.31,6.3100000000000005,17.0
VINIFERA DISTRIBUTING OF MARYLAND INC,WINE,22.91,0.91,22.0
PUNTO VINO LLC,LIQUOR,22.86,1.86,21.0
BACCHUS IMPORTERS LTD,NON-ALCOHOL,22.84,18.84,4.0
CHARM CITY BEVERAGE LLC,BEER,22.0,0.0,22.0
MARQUEE SELECTIONS LLC,WINE,22.0,0.0,22.0
SPLINTER GROUP NAPA LLC,LIQUOR,21.65,21.65,0.0
LAIRD AND COMPANY,WINE,20.52,2.52,18.0
INTERNATIONAL CELLARS LLC,LIQUOR,20.33,17.33,3.0
RIGHT FORWARD LLC,KEGS,20.0,0.0,20.0
AIKO IMPORTERS INC,WINE,19.73,14.73,5.0
ATLANTIC WINE & SPIRITS,WINE,19.71,8.71,11.0
GRAPES OF SPAIN INC,LIQUOR,18.0,0.0,18.0
GRAPES & BARLEY LLC,KEGS,18.0,0.0,18.0
GRAIL POINT BREWERY LLC,KEGS,17.0,0.0,17.0
SNR HOLDINGS LLC,WINE,16.759999999999998,16.759999999999998,0.0
CLASSIC WINE IMPORTS INC DBA VISION WINE,NON-ALCOHOL,15.8,15.8,0.0
INTERNATIONAL SPIRITS & WINES LLC,WINE,15.7,15.7,0.0
FAR NIENTE WINERY INC,WINE,15.59,11.59,4.0
FRITZ IMPORTS LLC,LIQUOR,15.37,15.37,0.0
SCHEID VINEYARDS CALIFORNIA INC,WINE,15.0,0.0,15.0
WITH MALUS AFORETHOUGHT LLC,BEER,15.0,0.0,15.0
SAWM IMPORTS LLC,WINE,14.280000000000001,2.2800000000000002,12.0
"THE COUNTRY VINTNER, LLC DBA WINEBOW",NON-ALCOHOL,14.22,5.22,9.0
MADIDUS LLC,KEGS,14.0,0.0,14.0
MARKERS EDGE LLC,BEER,14.0,0.0,14.0
STOLI GROUP (USA) LLC,WINE,12.98,7.9799999999999995,5.0
ALLIED IMPORTERS USA LTD,LIQUOR,12.520000000000001,12.520000000000001,0.0
MOUNT DEFIANCE CIDERY & DISTILLERY LLC,BEER,12.32,1.32,11.0
A VINTNERS SELECTIONS,NON-ALCOHOL,12.23,12.23,0.0
KYSELA PERE ET FILS LTD,LIQUOR,11.8,11.8,0.0
A&E INC,WINE,11.49,11.49,0.0
PIPE CREEK WINES LLC,BEER,11.0,0.0,11.0
LABATT USA OPERATING CO LLC,KEGS,11.0,0.0,11.0
DIAGEO NORTH AMERICA INC,WINE,10.18,10.18,0.0
BANVILLE & JONES WINE MERCHANTS,KEGS,10.0,0.0,10.0
LINNE CALODO INC,WINE,10.0,0.0,10.0
CROOK & MARKER LLC,BEER,10.0,0.0,10.0
GRAND ENCLOS DU CHATEAU DE CERONS,WINE,9.280000000000001,9.280000000000001,0.0
MESOZOIC TECHNOLOGIES LLC,WINE,8.57,0.5700000000000001,8.0
NIEBAUM COPPOLA ESTATE WINERY LP,WINE,8.53,4.53,4.0
GRAPES & BARLEY LLC,LIQUOR,8.0,0.0,8.0
ARCHER ROOSE LLC,WINE,8.0,0.0,8.0
NICKOLAS IMPORTS LLC,BEER,8.0,0.0,8.0
ELITE WINES IMPORTS,LIQUOR,8.0,0.0,8.0
RSL HOLDINGS INC,WINE,8.0,0.0,8.0
AW DIRECT LLC,WINE,7.27,7.27,0.0
NICKOLAS IMPORTS LLC,LIQUOR,6.99,6.99,0.0
MONDO VINO,WINE,6.84,6.84,0.0
ARIS A ZISSIS,WINE,6.68,6.68,0.0
ALTITUDE SPIRITS INC,LIQUOR,6.17,6.17,0.0
NOBLE VINTNERS INC,WINE,6.16,6.16,0.0
ROBERT KACHER SELECTIONS LLC,WINE,6.05,6.05,0.0
WARSTEINER IMPORTERS,KEGS,6.0,0.0,6.0
FIOR DI SOLE LLC,WINE,6.0,0.0,6.0
CHEF SOUS LLC,NON-ALCOHOL,5.95,5.95,0.0
TOBACCO BARN DISTILLERY,LIQUOR,5.76,5.76,0.0
WASHBURN WINE CO,NON-ALCOHOL,5.71,3.71,2.0
SUBARASHII KUDAMONO CO INC,LIQUOR,5.6000000000000005,5.6000000000000005,0.0
SOUTHERN WINE & SPIRITS OF MARYLAND,WINE,5.59,3.5900000000000003,2.0
CLASSIC WINE IMPORTS INC,LIQUOR,5.43,5.43,0.0
SUGARLOAF MOUNTAIN VINEYARD LLC,WINE,5.16,5.16,0.0
RED MOUNTAIN DISTILLING AND SPIRITS LLC,LIQUOR,5.08,5.08,0.0
SANGLIER SELECTIONS LLC,WINE,5.0,5.0,0.0
BREWDOG BREWING COMPANY LLC,KEGS,5.0,0.0,5.0
PREMIUM DISTRIBUTORS OF MARYLAND,KEGS,5.0,0.0,5.0
FAROPIAN SPIRITS LTD,WINE,4.16,0.16,4.0
WINEBOW INC,WINE,4.05,1.05,3.0
RED MOUNTAIN DISTILLING & SPIRITS LLC,LIQUOR,4.0,4.0,0.0
FREE RUN WINE MERCHANTS LLC,BEER,4.0,0.0,4.0
INTERBALT PRODUCTS CORP,KEGS,4.0,0.0,4.0
A I G WINE & SPIRITS,LIQUOR,3.71,3.71,0.0
LOOK VODKA LLC,WINE,3.6,3.6,0.0
8 VINI INC,WINE,3.53,2.5300000000000002,1.0
SMITH-ANDERSON ENTERPRISES INC,WINE,3.1300000000000003,3.1300000000000003,0.0
INTERBALT PRODUCTS CORP,NON-ALCOHOL,3.0,0.0,3.0
BARREL ONE INC,WINE,3.0,0.0,3.0
FREDERICK P WINNER LTD,KEGS,3.0,0.0,3.0
FIVE GRAPES LLC,KEGS,3.0,0.0,3.0
MONOCACY BREWING CO LLC,KEGS,3.0,0.0,3.0
FLAVOR SEEKERS LLC,WINE,2.8400000000000003,2.8400000000000003,0.0
SPADA ENTERPRISES INC,WINE,2.75,2.75,0.0
AMERICAN VINTAGE BEVERAGE INC,LIQUOR,2.72,2.72,0.0
CHATEAU DIANA LLC,WINE,2.7199999999999998,0.72,2.0
MERRYVALE VINEYARDS,WINE,2.64,2.64,0.0
BASIGNANI WINERY,WINE,2.37,2.37,0.0
HEIMBUCH ESTATE VINEYARDS AND WINERY LLC,WINE,2.02,2.02,0.0
LANTERNA DISTRIBUTORS INC,BEER,2.0,0.0,2.0
SWEETWATER BREWING COMPANY LLC,KEGS,2.0,0.0,2.0
A VINTNERS SELECTIONS,BEER,2.0,0.0,2.0
BANVILLE & JONES WINE MERCHANTS,LIQUOR,2.0,0.0,2.0
SUTTER HOME WINERY INC,LIQUOR,1.84,1.84,0.0
ORGANIC VINTNERS INC,WINE,1.72,1.72,0.0
FREDERICK P WINNER LTD,LIQUOR,1.69,1.69,0.0
WINEBOW INC,LIQUOR,1.35,1.35,0.0
A&W BORDERS LLC,WINE,1.3,1.3,0.0
SOUTHERN WINE & SPIRITS OF MARYLAND,LIQUOR,1.19,1.19,0.0
D'AQUINO ITALIAN IMPORTING CO INC,WINE,1.17,0.17,1.0
PATERNO IMPORTS LTD,LIQUOR,1.17,1.17,0.0
VINTAGE VIRGINIA APPLES,WINE,1.16,0.16,1.0
FIORE WINERY,WINE,1.16,0.16,1.0
FREELANCE WINES LLC,WINE,1.0,0.0,1.0
CALVERT BREWING COMPANY,BEER,1.0,0.0,1.0
"THE COUNTRY VINTNER, LLC DBA WINEBOW",BEER,1.0,0.0,1.0
TAP26MD LLC,KEGS,1.0,0.0,1.0
FREE RUN WINE MERCHANTS LLC,LIQUOR,1.0,0.0,1.0
DISTRICT CIDER COMPANY INC,KEGS,1.0,0.0,1.0
SOUTHERN GLAZERS WINE AND SPIRITS,BEER,1.0,0.0,1.0
CHEERS DISTRIBUTING INC,WINE,0.97,0.97,0.0
CHADDSFORD WINERY LTD,WINE,0.8200000000000001,0.8200000000000001,0.0
USA WINE IMPORTS,WINE,0.65,0.65,0.0
SABLE RIDGE VINEYARD LLC,WINE,0.64,0.64,0.0
NICE LEGS LLC,WINE,0.64,0.64,0.0
MAISON JOMERE LTD,LIQUOR,0.64,0.64,0.0
MEIOMI,WINE,0.58,0.58,0.0
DREYFUS ASHBY INC,WINE,0.57,0.57,0.0
A HARDY USA LTD,LIQUOR,0.56,0.56,0.0
Default,WINE,0.51,0.51,0.0
WEIN-BAUER INC,WINE,0.49,0.49,0.0
WHITE ROCK DISTILLERS INC,LIQUOR,0.4,0.4,0.0
BORVIN BEVERAGE,WINE,0.32,0.32,0.0
VOLUBILIS IMPORTS INC,WINE,0.24,0.24,0.0
GATOR RON'S LLC,NON-ALCOHOL,0.17,0.17,0.0
URUGUAY IMPORTS LTD,WINE,0.17,0.17,0.0
ONE EIGHT DISTILLING LLC,LIQUOR,0.17,0.17,0.0
DCD ENTERPRISES LLC,WINE,0.16,0.16,0.0
BLACK ANKLE VINEYARDS LLC,WINE,0.08,0.08,0.0
G GAUTHIER CELLARS INC,WINE,0.08,0.08,0.0
THE DOG BEVERAGE CO INC,BEER,0.04,0.04,0.0
WILLIAM GRANT AND SONS INC,WINE,0.0,0.0,0.0
SIDNEY-FRANK IMPORTING CO,WINE,0.0,0.0,0.0
HAMCO DC,STR_SUPPLIES,0.0,0.0,0.0
PACIFIC RIM WINEMAKERS,WINE,0.0,0.0,0.0
KAHN PAPER COMPANY INC,STR_SUPPLIES,0.0,0.0,0.0
