SUPPLIER,ITEM TYPE,TOTAL_SALES,RETAIL_SALES,WAREHOUSE_SALES
ARTISANS & VINES LLC,WINE,7982.7,121.08,7861.62
YUENGLING BREWERY,KEGS,7982.0,0.0,7982.0
AMERICAN BEVERAGE MARKETERS,NON-ALCOHOL,7762.4,6677.4,1085.0
BOSTON BEER CORPORATION,KEGS,7656.0,0.0,7656.0
FREIXENET USA,WINE,7468.66,4312.82,3155.84
CASTLE BRANDS USA CORP,NON-ALCOHOL,7276.179999999999,4618.18,2658.0
VICTORY BREWING COMPANY LLC,BEER,7229.04,960.33,6268.71
MASS BAY BREWING CO,BEER,6868.22,1303.97,5564.25
NEXTERRA WINE COMPANY,WINE,6700.67,0.0,6700.67
THREE STARS BREWING COMPANY LLC,BEER,6669.95,601.75,6068.2
ST KILLIAN IMPORTING CO INC,BEER,6546.2,1629.41,4916.79
TROEGS BREWING COMPANY,BEER,6470.16,1515.91,4954.25
BACKUP BEVERAGE,BEER,6427.06,68.92,6358.14
NORTH LOCK LLC DBA PORT CITY BREWING CO,BEER,6420.01,1777.76,4642.25
COASTAL BREWING COMPANY LLC,BEER,6380.44,701.44,5679.0
LUXCO SPIRITED BRANDS,LIQUOR,6319.52,5686.52,633.0
DIAGEO NORTH AMERICA INC,KEGS,6217.0,0.0,6217.0
DEUTSCH FAMILY WINE & SPIRITS,LIQUOR,6207.34,6085.34,122.0
SURVILLE ENTERPRISES CORP,WINE,6059.78,3298.19,2761.59
REPUBLIC NATIONAL DISTRIBUTING CO,LIQUOR,6027.35,5276.51,750.84
MHW LTD,WINE,6025.67,3320.58,2705.09
THE EDRINGTON GROUP USA LLC,LIQUOR,5949.17,5781.33,167.84
STOLI GROUP (USA) LLC,LIQUOR,5921.1,5394.6,526.5
QUINTESSENTIAL LLC,WINE,5845.18,2631.08,3214.1
LEGENDS LTD,KEGS,5533.0,0.0,5533.0
INTERBALT PRODUCTS CORP,WINE,5435.91,259.32,5176.59
DUCKHORN WINE COMPANY,WINE,5334.82,2879.9,2454.92
MHW LTD,BEER,5302.81,1457.31,3845.5
ALLAGASH BREWING COMPANY,BEER,5287.88,751.34,4536.54
YOUNG WON TRADING INC,WINE,5121.12,812.98,4308.14
HOME BREW MART INC,BEER,5053.68,1215.97,3837.71
WARSTEINER IMPORTERS,BEER,4944.08,1189.08,3755.0
UNITED STATES DISTILLED PRODUCTS,WINE,4920.65,3196.24,1724.41
CASTLE BRANDS USA CORP,LIQUOR,4865.78,4653.86,211.92
THE BROOKLYN BREWERY CORPORATION,BEER,4824.9,1148.94,3675.96
