YEAR,MONTH,ITEM TYPE,RETAIL_SALES,WAREHOUSE_SALES,RETAIL_TRANSFERS,TOTAL_SALES,TXN_COUNT
2019,3,WINE,30298.46,48008.44,32942.05,78306.9,7756
2019,4,BEER,20524.97,246461.19,21679.38,266986.16,1784
2019,4,KEGS,0.0,5226.0,0.0,5226.0,424
2019,4,LIQUOR,29715.44,4491.78,30485.38,34207.22,2588
2019,4,NON-ALCOHOL,993.85,1011.42,1039.12,2005.27,78
2019,4,REF,22.62,0.0,16.0,22.62,4
2019,4,STR_SUPPLIES,94.71000000000001,0.0,340.0,94.71000000000001,18
2019,4,WINE,28963.68,47689.48,30061.02,76653.16,7789
2019,5,BEER,27905.13,321526.33,24966.79,349431.46,1805
2019,5,KEGS,0.0,5861.0,0.0,5861.0,449
2019,5,LIQUOR,34571.46,5421.93,32482.97,39993.39,2595
2019,5,NON-ALCOHOL,1302.34,1255.34,1170.46,2557.68,83
2019,5,REF,22.400000000000002,0.0,23.0,22.400000000000002,4
2019,5,STR_SUPPLIES,116.21,0.0,408.0,116.21,18
2019,5,WINE,31034.8,55338.48,29003.58,86373.28,7974
2019,6,BEER,27867.04,293541.54,27008.42,321408.58,1787
2019,6,KEGS,0.0,5365.0,0.0,5365.0,432
2019,6,LIQUOR,33495.36,5025.33,31444.51,38520.69,2592
2019,6,NON-ALCOHOL,1256.66,1159.42,1268.29,2416.08,80
2019,6,REF,24.630000000000003,298.0,10.0,322.63,4
2019,6,STR_SUPPLIES,136.53,0.0,597.0,136.53,22
2019,6,WINE,28081.06,46556.96,25411.51,74638.02,7379
2019,7,BEER,28775.86,322464.16,32237.48,351240.02,1866
2019,7,KEGS,0.0,5361.0,0.0,5361.0,440
2019,7,LIQUOR,33017.61,4590.5,36612.02,37608.11,2572
2019,7,NON-ALCOHOL,1323.96,1360.46,1456.67,2684.42,85
2019,7,REF,28.15,0.0,20.0,28.15,2
2019,7,STR_SUPPLIES,112.46000000000001,0.0,582.0,112.46000000000001,19
2019,7,WINE,27484.68,47348.28,30572.17,74832.96,7487
2019,8,BEER,27102.68,304186.9,27087.25,331289.58,1872
2019,8,KEGS,0.0,5271.0,0.0,5271.0,440
2019,8,LIQUOR,33625.19,4501.42,32838.7,38126.61,2535
2019,8,NON-ALCOHOL,1303.57,1250.71,1307.0,2554.28,90
2019,8,REF,21.95,0.0,8.0,21.95,3
2019,8,STR_SUPPLIES,110.17,0.0,459.0,110.17,18
2019,8,WINE,28429.25,47475.31,27168.75,75904.56,7425
2019,9,BEER,23751.579999999998,269261.39,24568.92,293012.97000000003,1782
2019,9,KEGS,0.0,4954.0,0.0,4954.0,440
2019,9,LIQUOR,30377.29,4125.08,30638.09,34502.37,2523
2019,9,NON-ALCOHOL,1031.3700000000001,988.88,1022.0,2020.25,84
2019,9,REF,17.729999999999997,0.0,28.0,17.729999999999997,2
2019,9,STR_SUPPLIES,126.44,0.0,611.0,126.44,17
2019,9,WINE,26814.73,44159.0,27246.36,70973.73,7548
